endTime,artistName,trackName,msPlayed
2020-10-28 21:15,Noah Kahan,Hurt Somebody,11840
2020-10-28 21:15,Noah Kahan,Hurt Somebody,24161
2020-10-28 21:19,Van Morrison,Into the Mystic - 2013 Remaster,205613
2020-10-28 21:22,COIN,Crash My Car,188306
2020-10-28 21:25,Noah Kahan,Mess,184408
2020-10-28 22:59,flor,back again,2666
2020-10-29 00:04,Taylor Swift,betty,221674
2020-10-29 00:04,Colbie Caillat,Bubbly,1024
2020-10-29 00:04,Summer Salt,Speaking Sonar,1578
2020-10-29 00:07,Yoke Lore,Beige,204208
2020-10-29 00:10,Auli'i Cravalho,How Far I'll Go,163386
2020-10-29 00:10,Ed Sheeran,Tenerife Sea,5207
2020-10-29 00:13,Phoebe Bridgers,ICU,190093
2020-10-29 00:14,Maggie Rogers,Alaska,4521
2020-10-29 00:17,Jade Bird,Something American,182827
2020-10-29 00:20,Miguel,Banana Clip,199136
2020-10-29 01:24,Muse,Supermassive Black Hole,212439
2020-10-29 01:24,Carole King,It's Too Late,778
2020-10-29 01:24,Muse,Plug in Baby,2026
2020-10-29 01:27,"Crosby, Stills, Nash & Young",Our House,179760
2020-10-29 01:33,Ella Fitzgerald,Autumn In New York,356626
2020-10-29 01:37,Hozier,Someone New,222813
2020-10-29 01:41,Carly Simon,You're so Vain,258411
2020-10-29 01:45,Joni Mitchell,A Case of You,263480
2020-10-29 01:49,Carole King,It's Too Late,233173
2020-10-29 01:53,"Peter, Paul and Mary",Leaving on a Jet Plane,207240
2020-10-29 02:00,The Velvet Underground,Oh! Sweet Nuthin' - 2015 Remaster,445186
2020-10-29 02:04,Billy Joel,If I Only Had the Words (To Tell You),214520
2020-10-29 02:08,Van Morrison,Moondance - 2013 Remaster,274040
2020-10-29 02:11,Etta James,At Last,179693
2020-10-29 02:15,John Mayer,Daughters,237906
2020-10-29 02:21,Billy Joel,New York State of Mind,362400
2020-10-29 02:26,Little River Band,Reminiscing - Remastered,253080
2020-10-29 02:29,Billy Joel,She's Always a Woman,201373
2020-10-29 02:32,Jack Johnson,Sunsets For Somebody Else,210466
2020-10-29 02:36,Frank Sinatra,It Had To Be You - 2009 Remaster,234666
2020-10-29 02:40,Billie Holiday,As Time Goes By,194573
2020-10-29 02:42,Seinabo Sey,Still,173209
2020-10-29 02:46,Carole King,So Far Away,235626
2020-10-29 02:50,Etta James,A Sunday Kind Of Love,196133
2020-10-29 02:52,The Beatles,Blackbird - Remastered 2009,138386
2020-10-29 02:55,Wayne Newton,Danke Schoen,155333
2020-10-29 02:57,Ella Fitzgerald,Manhattan,171533
2020-10-29 03:00,The Beatles,Till There Was You - Remastered 2009,133506
2020-10-29 03:04,Simon & Garfunkel,The Only Living Boy in New York,238413
2020-10-29 03:09,Bruce Springsteen,Thunder Road,288720
2020-10-29 03:14,Ella Fitzgerald,Let's Do It (Let's Fall In Love),324720
2020-10-29 03:17,Norah Jones,Carry On,168106
2020-10-29 03:20,The Monkees,Me & Magdalena,213706
2020-10-29 03:22,The Beatles,Yesterday - Remastered 2009,125666
2020-10-29 03:26,Van Morrison,Into the Mystic - 2013 Remaster,205613
2020-10-29 03:29,Lake Street Dive,I Can Change,191693
2020-10-29 03:32,Frank Sinatra,Autumn Leaves - 1999 / Digital Remaster,172866
2020-10-29 03:35,Billy Joel,You're My Home,193440
2020-10-29 03:37,The Beatles,I Will - Remastered 2009,105933
2020-10-29 03:39,Simon & Garfunkel,Homeward Bound,149613
2020-10-29 03:42,The Beatles,Norwegian Wood (This Bird Has Flown) - Remastered 2009,124693
2020-10-29 03:45,Jim Croce,New York's Not My Home,189053
2020-10-29 03:47,The Beatles,Michelle - Remastered 2009,162373
2020-10-29 03:52,"Harry Connick, Jr.",Love Is Here to Stay,250200
2020-10-29 03:53,Simon & Garfunkel,April Come She Will,109013
2020-10-29 03:57,Hozier,Like Real People Do,198026
2020-10-29 04:00,Billy Joel,Vienna,214240
2020-10-29 04:04,Maggie Rogers,Love You For A Long Time,223120
2020-10-29 04:08,Leon Bridges,Beyond,240600
2020-10-29 04:12,LÉON,Come Home To Me,225868
2020-10-29 04:17,The Head And The Heart,Rivers and Roads,284000
2020-10-29 04:21,Joni Mitchell,A Case of You,263480
2020-10-29 04:25,Kacey Musgraves,Rainbow,214293
2020-10-29 04:28,Billie Holiday,Autumn In New York,224333
2020-10-29 04:33,Houndmouth,Darlin',258480
2020-10-29 04:35,Carole King,Bitter with the Sweet,147466
2020-10-29 04:39,Bahamas,Whole Wide World,26027
2020-10-29 04:39,Amy Winehouse,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",233733
2020-10-29 16:22,Matt Maeson,Hallucinogenics,185809
2020-10-29 16:27,Joni Mitchell,A Case of You,263480
2020-10-29 16:36,Joni Mitchell,Cactus Tree,1162
2020-10-29 16:36,Aaron Tveit,She’s Always a Woman / A Case of You (Live),562386
2020-10-29 16:36,Peter Oren,Falling Water,3338
2020-10-29 16:39,Donovan Woods,"Portland, Maine",203869
2020-10-29 16:45,Phoebe Bridgers,Scott Street,305000
2020-10-29 16:48,The Woodlands,Sudden Love - Acoustic,182213
2020-10-29 16:52,Eddie Berman,Untamed,238213
2020-10-29 16:55,Henry Jamison,I Forget Myself (feat. Darlingside),212146
2020-10-29 17:00,Anna Mieke,Warped Window,295265
2020-10-29 17:03,Humbird,Pharmakon,155352
2020-10-29 17:05,sol williams,Carry On,164953
2020-10-29 17:12,Peter Bradley Adams,Little Flower,375214
2020-10-29 17:16,Mandolin Orange,Golden Embers,285786
2020-10-29 17:20,John Smith,Burden of the Road,196225
2020-10-29 17:23,The Brother Brothers,Siren Song,183767
2020-10-29 17:27,Gregory Alan Isakov,"If I Go, I'm Goin",267160
2020-10-29 17:28,Lord Huron,The Night We Met (feat. Phoebe Bridgers),39871
2020-10-29 17:31,Joshua Burnside,Whiskey Whiskey,169805
2020-10-29 17:35,The Sweet Remains,Moving in Slow Motion,237746
2020-10-29 17:38,Tré Burt,Caught It from the Rye,184880
2020-10-29 17:41,The Paper Kites,Arms,203560
2020-10-29 17:46,Sufjan Stevens,The Only Thing,284130
2020-10-29 17:49,Aaron Espe,Making All Things New,159600
2020-10-29 17:52,Terrible Sons,Tears Don't Fall,190546
2020-10-29 17:55,Jason Isbell and the 400 Unit,If We Were Vampires,215563
2020-10-29 17:59,Old Sea Brigade,Love Brought Weight,185746
2020-10-29 18:02,Joy Williams,The Trouble with Wanting,235586
